word,average
hide,16.1
tramping,1.8
shanty,3.7
bunch,3.0
drawing,1.0
bead,2.1
bird,2.9
trot,2.9
abused,1.0
wet,5.1
catfish,3.0
thinking,20.7
certainer,1.0
trusting,2.4
missed,10.0
a-prowling,1.0
following,2.9
o'clock,5.875
driftwood,1.0
raft,21.5
nine,7.7
towed,2.1
shove,16.2
towing,1.0
half-past,3.875
speck,2.4
yonder,14.9
apart,3.9
whisky-jug,1.6666666666666667
coffee,5.6
sugar,3.0
bucket,2.0
gourd,2.8
dipper,1.0
cup,1.9
skillet,2.0
coffee-pot,2.6
fish-lines,1.0
matches,1.9
cent,6.0
axe,2.0
woodpile,4.0
dragging,3.0
fixed,16.8
outside,11.4
scattering,2.0
dust,1.1
covered,4.0
smoothness,1.0
sawdust,3.0
rocks,2.9
bent,5.0
sawed,5.0
grass,5.1
track,7.0
followed,5.6
safe,17.5
hunting,4.1
birds,4.0
pig,1.0
bottoms,1.0
prairie,1.0
farms,1.8
fellow,6.7
smashed,3.0
beat,9.9
a-doing,1.6
bleed,1.0
packed,5.0
boards,4.0
dragged,3.1
dumped,1.0
sunk,4.9
fancy,1.0
touches,2.0
blooded,1.0
slung,1.0
couldn't,10.4
drip,2.2
bag,10.3
ripped,2.0
knives,4.0
forks,2.0
carried,7.4
east,2.9
shallow,1.0
lake,1.0
wide,10.9
rushes,1.0
ducks,1.0
season,1.0
slough,1.0
leading,2.9
sifted,3.0
whetstone,1.0
accident,1.0
rip,9.0
leak,2.0
moon,4.9
willow,4.0
bite,4.9
plan,10.8
sackful,1.0
browsing,2.0
leads,1.3
won't,4.5
bother,11.0
anywhere,2.7
jackson,4.8
island,13.0
paddle,6.3
slink,2.0
pick,8.0
woke,4.0
remembered,2.0
bright,6.6
counted,3.9
drift,3.3
a-slipping,1.0
late,13.7
unhitch,1.0
oars,5.0
working,4.1
rowlocks,1.0
peeped,6.0
abreast,3.0
expecting,4.7
current,9.0
came,4.25
a-swinging,1.0
lose,14.7
a-spinning,1.0
stream,5.0
shade,3.9
middle,22.0
landing,4.0
hail,3.0
sky,7.9
cloud,2.0
looks,8.9
deep,10.0
moonshine,1.0
brisk,2.9
lowed,3.5
mumble,1.0
jackson's,1.2
timbered,1.0
steamboat,15.1
bar,4.1
past,6.5
rate,3.3
swift,6.0
landed,7.8
dent,1.1
lumber-raft,1.0
lantern,10.5
stern,4.555555555555555
heave,4.0
stabboard,2.8
plain,6.2
stepped,3.9
nap,4.1
sun,8.2
eight,6.1
rested,3.0
ruther,7.4
holes,3.9
gloomy,1.0
freckled,1.0
swapped,1.9
showing,4.0
breeze,3.0
squirrels,1.0
jabbered,1.0
friendly,4.0
cook,3.0
dozing,2.0
rouses,1.0
rests,1.0
elbow,4.9
listens,2.0
ferryboat,4.0
squirt,1.0
ferryboat's,1.0
firing,1.0
cannon,1.0
hungry,8.8
cannon-smoke,1.0
summer,3.1
remainders,2.8
quicksilver,1.0
loaves,1.0
bread,6.8
lookout,5.0
changed,4.9
disappointed,3.7
double,5.1
loaf,1.0
floated,4.9
closest,1.0
won,8.4
plug,2.0
dab,1.2
baker,1.0
”,8.666666666666666
corn-pone,3.4
munching,1.0
watching,7.1
